#t/Tc 	 (Rf-Ro)/Ro 	 (Rfmax-Ro)/Ro 	 H/R 	 H/Rmax 	 Ep/Eo 	 Ek/Eo 	 Ec/Eo 	 Ekx/Eo 	 Eky/Eo 	 t/(d/g)^0.5 	 H/d 	 KE/mgd 	 KEx/mgd 	 KEy/mgd 
1.44706772559 	 9.60466438338 	 9.8777221707 	 0.471871741574 	 0.459325062159 	 0.150912183972 	 0.0191850508096 	 0.829902765219 	 0.00306416306241 	 0.00306416306241 	 0.416149909366 	 0.902584906491 	 1.03809542776 	 0.165800638037 	 0.165800638037 
1.46071929584 	 9.57323754486 	 9.94584439257 	 0.47251701216 	 0.455736040609 	 0.150422793151 	 0.0183711800832 	 0.831206026766 	 0.00298279446812 	 0.00298279446812 	 0.420075848436 	 0.90114070363 	 0.9940572082 	 0.161397815937 	 0.161397815937 
1.47437086609 	 9.75875998102 	 10.0096974833 	 0.463611760543 	 0.452354050468 	 0.149921341004 	 0.0175272232358 	 0.83255143576 	 0.00275077352912 	 0.00275077352912 	 0.424001787507 	 0.899671227219 	 0.948391040665 	 0.148843255707 	 0.148843255707 
1.48802243634 	 9.93507855709 	 10.0697571232 	 0.455354419929 	 0.449128461752 	 0.149438266421 	 0.016860557801 	 0.833701175778 	 0.002660946888 	 0.002660946888 	 0.427927726577 	 0.898128818563 	 0.912318040569 	 0.143982772075 	 0.143982772075 
1.50167400659 	 9.97323514281 	 10.1295689297 	 0.452884494007 	 0.445842022051 	 0.148945045542 	 0.0161575975183 	 0.83489735694 	 0.00251606986901 	 0.00251606986901 	 0.431853665648 	 0.896374112086 	 0.874281140761 	 0.136143534509 	 0.136143534509 
1.51532557684 	 10.0912959668 	 10.1896325669 	 0.447337550208 	 0.442730079935 	 0.148437377948 	 0.0155590029819 	 0.83600361907 	 0.0024472228797 	 0.0024472228797 	 0.435779604718 	 0.894921244007 	 0.841891429759 	 0.132418251447 	 0.132418251447 
1.52897714708 	 9.79758914113 	 10.2523384286 	 0.458659178107 	 0.439451860141 	 0.147900816928 	 0.0148650366182 	 0.837234146454 	 0.00236382670596 	 0.00236382670596 	 0.439705543789 	 0.893272686441 	 0.804341187317 	 0.127905717834 	 0.127905717834 
1.54262871733 	 10.1643903894 	 10.3184579962 	 0.442835299712 	 0.436141275557 	 0.147358695603 	 0.0143113495229 	 0.838329954874 	 0.00238353975055 	 0.00238353975055 	 0.443631482859 	 0.89175266293 	 0.774381399995 	 0.128972382794 	 0.128972382794 
1.55628028758 	 10.2589311272 	 10.3875715519 	 0.438375808805 	 0.432762708307 	 0.146739183569 	 0.0136308404409 	 0.83962997599 	 0.00239808725513 	 0.00239808725513 	 0.44755742193 	 0.890247803548 	 0.737559325683 	 0.12975954245 	 0.12975954245 
1.56993185783 	 10.33951995 	 10.4575805059 	 0.434384045806 	 0.429252490999 	 0.146102486666 	 0.0130442971514 	 0.840853216183 	 0.00247780959601 	 0.00247780959601 	 0.451483361 	 0.888455547797 	 0.70582170283 	 0.134073286436 	 0.134073286436 
