#t/Tc	(Rf-Ro)/Ro	r085	#t/Tc	(Rf-Ro)/Ro	r09	#t/Tc	(Rf-Ro)/Ro	r075	#t/Tc	(Rf-Ro)/Ro	r08
0.4641543647	2.3320636695	2.6069239988	0.4641539002	2.0815036041	2.3563069617	0.4641588558	2.7690920104	2.8231566678	0.4641549842	2.4502663701	2.6147155207
0.4778059487	2.614013918	2.7357933945	0.4778054704	2.5089230203	2.5035719996	0.4778105718	2.6488399176	2.9507102946	0.4778065863	2.5147328213	2.740384577
0.4914575326	2.6437435893	2.8600421807	0.4914570406	2.3207126886	2.6487224585	0.4914622878	2.9802447508	3.0882853554	0.4914581885	2.710987627	2.8648812108
0.5051091165	2.7471780874	2.9810942358	0.5051086109	2.5649116345	2.7852323239	0.5051140038	2.8995636055	3.2238325449	0.5051097906	2.8685827381	2.9816529678
0.5187607004	2.9050026143	3.1072537854	0.5187601811	2.5884040971	2.904074462	0.5187657198	2.9758583874	3.3573450675	0.5187613927	2.9703325984	3.1248683873
0.5324122843	3.2457644287	3.2392403636	0.5324117514	2.8319656987	3.0341290653	0.5324174358	3.1037739059	3.4879994628	0.5324129949	3.1661302435	3.2664305033
0.5460638682	3.1429408746	3.3733215863	0.5460633216	3.1779399607	3.1715687058	0.5460691518	3.5211770042	3.6168990078	0.546064597	3.2153090358	3.4004496218
0.5597154521	3.2888347785	3.5064594195	0.5597148919	3.1371811527	3.3116825493	0.5597208678	3.5487874349	3.7466619871	0.5597161991	3.2877341647	3.5296159587
0.573367036	3.5306981336	3.6379183393	0.5733664621	3.2912687435	3.4461521857	0.5733725838	3.5795324121	3.875949278	0.5733678012	3.4833084337	3.6689515513
0.58701862	3.5816955417	3.7670987337	0.5870180324	3.281984815	3.5798223594	0.5870242999	3.8476382213	4.0066316549	0.5870194034	3.7399388638	3.8158341388
0.6006702039	3.5255695671	3.8924136299	0.6006696026	3.3555196138	3.7166863868	0.6006760159	4.146240806	4.1386931283	0.6006710055	3.8835961807	3.9593989266
0.6143217878	3.6887348495	4.014726469	0.6143211729	3.6754848641	3.8447363372	0.6143277319	4.1002834703	4.2664534197	0.6143226076	3.8032528058	4.0973994047
0.6279733717	3.9189798597	4.1322224257	0.6279727431	3.6070944587	3.9652793323	0.6279794479	4.1985032641	4.3880177708	0.6279742098	4.0322894699	4.2312626266
0.6416249556	3.9537468162	4.2456410211	0.6416243134	3.8521517376	4.0839435899	0.6416311639	4.5084150364	4.5003361797	0.6416258119	4.1973276521	4.3639586226
0.6552765395	4.1527039676	4.3541707807	0.6552758836	4.0973971772	4.2076004925	0.6552828799	4.5357492427	4.5996231269	0.655277414	4.2142930344	4.4965946584
0.6689281234	4.258606263	4.4538382759	0.6689274539	4.2074791872	4.3406231013	0.6689345959	4.600189594	4.6843995814	0.6689290162	4.5467632869	4.6259928416
0.6825797073	4.4808321329	4.5741444137	0.6825790241	4.3166404109	4.4770993892	0.6825863119	4.6738774581	4.78498168	0.6825806183	4.6841516588	4.7549952871
0.6962312913	4.5545657854	4.6997351314	0.6962305944	4.5473053988	4.6065444022	0.6962380279	4.7290863097	4.9055266989	0.6962322204	4.9019154309	4.8933515293
0.7098828752	4.7442506808	4.8225916187	0.7098821646	4.6827850985	4.7277349621	0.7098897439	4.8681592926	5.0195320026	0.7098838226	5.0324664095	5.0237130735
0.7235344591	4.7078542735	4.9393200721	0.7235337349	4.570577273	4.8420381504	0.7235414599	5.0060553193	5.1255825183	0.7235354247	4.9240168645	5.1420226106
0.737186043	5.0237195199	5.0604216951	0.7371853051	4.7226271236	4.952040229	0.7371931759	5.1176139496	5.2232745105	0.7371870268	5.0600001281	5.2427717938
0.7508376269	4.9556669258	5.1862722446	0.7508368754	4.8701210834	5.0531203032	0.7508448919	5.2085478243	5.3296168351	0.750838629	5.2776918433	5.3307894205
0.7644894667	4.9753284324	5.3062146179	0.7644887015	4.9589169151	5.1506907358	0.7644968637	5.3623327591	5.445828693	0.7644904869	5.3867778904	5.4521369428
0.7781410506	5.2043883874	5.4327447276	0.7781402717	5.1785965214	5.2531298967	0.7781485798	5.319734152	5.5603736432	0.7781420891	5.4966965943	5.5684957736
0.7917926345	5.3400651941	5.5538463506	0.791791842	5.1161191658	5.3882590899	0.7918002958	5.5269665076	5.6738472953	0.7917936912	5.4606681751	5.6795061515
0.8054442184	5.6470785588	5.6835464088	0.8054434122	5.3598192857	5.5155375588	0.8054520118	5.7478579598	5.7865334633	0.8054452933	5.5080055148	5.7872986635
0.8190958023	5.6322493548	5.8103123658	0.8190949825	5.5590774521	5.6370598958	0.8191037278	5.7666011868	5.9000830656	0.8190968955	5.5987530964	5.8985169036
0.8327473862	5.7960752254	5.9273766019	0.8327465527	5.398095974	5.7510113204	0.8327554438	5.8055248084	6.0136166784	0.8327484976	5.8401755305	6.002064231
0.8463989701	5.9803833333	6.0356425322	0.846398123	5.8739503536	5.8634677497	0.8464071598	5.871890724	6.1256152969	0.8464000997	5.8892662532	6.0938553551
0.8600505541	6.0493006973	6.1490371432	0.8600496932	5.7813112398	5.9940400051	0.8600588758	6.0873937987	6.237106248	0.8600517019	5.9910505407	6.173466557
0.873702138	6.1669854839	6.2648581838	0.8737012635	6.0252035238	6.1173971091	0.8737105918	6.2147612721	6.3461547994	0.873703304	6.0672786694	6.2825502127
0.8873537219	6.2067849213	6.3925715277	0.8873528337	6.1443933119	6.2301973074	0.8873623078	6.290018411	6.4525011213	0.8873549061	6.2795300933	6.4042574964
0.9010053058	6.2248770305	6.5194094382	0.901004404	6.2713897669	6.330453935	0.9010140238	6.4452365101	6.5562731299	0.9010065083	6.2114083589	6.5191572949
0.9146568897	6.3706228025	6.6291983828	0.9146559742	6.0964483669	6.4181549998	0.9146657398	6.4705610838	6.6582782961	0.9146581104	6.5588344086	6.6269418122
0.9283084736	6.5172493588	6.7210069643	0.9283075444	6.3071443012	6.5264542228	0.9283174558	6.6164916378	6.7596638682	0.9283097125	6.5370252055	6.7355218019
0.9419600575	6.8079041579	6.8120840192	0.9419591147	6.4176466703	6.6259633526	0.9419691718	6.5693533427	6.8622446573	0.9419613147	6.6188737676	6.8641924676
0.9556116414	6.7775411226	6.9111558999	0.9556106849	6.6243632062	6.7174778549	0.9556208878	6.8573593187	6.9657728256	0.9556129168	6.9406595923	6.9898611241
0.9692632254	6.8908099772	7.0220561253	0.9692622552	6.6098508126	6.8122341786	0.9692726038	6.9118555915	7.0671144266	0.9692645189	6.8425622131	7.1099215001
0.9829148093	7.0072376444	7.1282673854	0.9829138254	6.6454532171	6.9220883566	0.9829243198	7.0631825295	7.1655019631	0.9829161211	6.9639699795	7.2222749872
0.9965663932	7.1469700621	7.2314086323	0.9965653957	6.8856343317	7.029004509	0.9965760358	7.1706858652	7.262434453	0.9965677232	6.9546946632	7.3262740151
1.0102179771	7.2655116115	7.3306324147	1.0102169659	7.0303939564	7.1296288894	1.0102277518	7.1947454112	7.3550777531	1.0102193253	7.1616058747	7.4240851467
1.023869561	7.2525600795	7.424607594	1.0238685362	7.1380579015	7.2246370439	1.0238794678	7.4537157987	7.4413172489	1.0238709275	7.3482250799	7.5191580944
1.0375211449	7.3707012724	7.5137059295	1.0375201064	7.0487256117	7.3134253782	1.0375311838	7.4494323188	7.5413557037	1.0375225296	7.4144733366	7.611584797
1.0511727288	7.4528143859	7.6122381595	1.0511716767	7.1729557042	7.4006587573	1.0511828998	7.6148907372	7.653530207	1.0511741317	7.4747328693	7.7026843797
1.0648245686	7.4463486288	7.7200363925	1.0648235028	7.5034099121	7.4904424227	1.0648348717	7.6405716004	7.7642656531	1.0648259897	7.6378895673	7.80185461
1.0784761525	7.6853454316	7.8225100715	1.078475073	7.4595684715	7.5889642161	1.0784865877	7.6588744696	7.8736299976	1.0784775918	7.6265966594	7.904606465
1.0921277364	7.7867877558	7.9190915639	1.0921266433	7.6716856195	7.6926065684	1.0921383037	7.8625559405	7.9787371314	1.092129194	7.8552009825	8.006099155
