#t/Tc	(Rf-Ro)/Ro	r085	#t/Tc	(Rf-Ro)/Ro	r09	#t/Tc	(Rf-Ro)/Ro	r075	#t/Tc	(Rf-Ro)/Ro	r08
2.2525131366	11.5291999997	12.0459166827	2.252510882	11.8589375327	12.2115258546	2.2525349315	11.8838588469	12.3430976025	2.2525161427	12.7940767678	12.7839304973
2.2661647205	12.0698133618	12.0497302146	2.2661624522	11.8694505107	12.2115898116	2.2661866475	11.8481738564	12.3430976025	2.2661677449	12.7116477477	12.8013069732
2.2798165603	11.9604920221	12.0529041604	2.2798142783	11.8480922708	12.2115858143	2.2798386194	11.8459160222	12.3430976025	2.2798196029	12.3875881295	12.8182837142
2.2934681442	11.9603839258	12.0538995162	2.2934658486	11.9140926351	12.2114738895	2.2934903354	11.8460601393	12.3430976025	2.293471205	12.6530855539	12.8342451286
2.3071197281	11.9597513626	12.0538995162	2.3071174188	11.9139605223	12.2112180615	2.3071420514	11.8489504874	12.3430976025	2.3071228071	12.5579505114	12.8482758235
2.320771312	11.7313640065	12.0538995162	2.3207689891	11.9139324984	12.2112060695	2.3207937674	11.8510521948	12.3431415736	2.3207744092	12.6543665643	12.8556989005
2.3344228959	12.0744254684	12.0543352342	2.3344205593	11.9139284949	12.2110941447	2.3344454834	11.8552395966	12.3431375763	2.3344260114	12.7136613361	12.8600839923
2.3480744798	12.0154489558	12.0545590894	2.3480721296	11.9139084778	12.2110541716	2.3480971994	11.8636224068	12.3431375763	2.3480776135	12.7146421097	12.8689501123
2.3617260637	12.0154089201	12.0545430997	2.3617236998	11.914072618	12.2109742253	2.3617489154	11.8719771943	12.3431415736	2.3617292156	12.6575170494	12.8750260827
2.3753776476	12.0193644421	12.0545590894	2.37537527	11.847836052	12.210906271	2.3754006314	11.8804881085	12.3431415736	2.3753808178	12.7167797959	12.8810540849
2.3890292316	11.8448050144	12.0547029962	2.3890268403	12.0316930659	12.2108782898	2.3890523474	11.8899798196	12.3550257871	2.3890324199	12.717035998	12.9034112577
2.4026808155	12.0397465904	12.0555424529	2.4026784105	12.0339910283	12.2106624348	2.4027040634	11.9011609031	12.3730619698	2.402684022	12.7171200643	12.92703559
2.4163323994	12.0757346341	12.0556423882	2.4163299808	11.9549995696	12.2107223946	2.4163557794	11.914411668	12.3895031975	2.4163356242	12.7171160611	12.94886911
2.4299839833	12.0757466448	12.0556543805	2.429981551	12.0334345531	12.2108782898	2.4300074954	11.9235270734	12.4044294178	2.4299872263	12.7171520896	12.9688838362
2.4436355672	12.0757466448	12.0556543805	2.4436331213	12.0823122947	12.2108902817	2.4436592114	11.9298602184	12.4171091101	2.4436388284	12.7171560927	12.9873316017
2.4572871511	12.0757666626	12.0556743675	2.4572846915	12.0869202299	12.2108902817	2.4573109274	11.9355128106	12.4272184864	2.4572904306	12.7001146504	12.9992077254
2.470938735	12.0757706662	12.055678365	2.4709362618	12.090026883	12.210894279	2.4709626434	11.941153393	12.4345376909	2.4709420327	12.7183850621	13.0067027547
2.4845903189	12.0759708444	12.0558782356	2.484587832	12.036969572	12.210906271	2.4846143594	11.9474785316	12.4397262913	2.4845936348	12.5497080097	13.0110878465
2.4982419029	12.077151896	12.0570574724	2.4982394023	12.0941103703	12.2107783569	2.4982660754	11.9556451661	12.4435357953	2.498245237	12.669842772	13.0127747278
2.5118934868	12.0776683559	12.0575731387	2.5118909725	12.0934898403	12.2108063381	2.5119177914	11.9660215959	12.447509192	2.5118968391	12.7989446075	13.0126987782
2.5255450707	11.9613287671	12.0579329058	2.5255425428	12.0922647941	12.2108063381	2.5255695074	11.826820509	12.4525938605	2.5255484412	12.8010582748	13.0126987782
2.5391966546	12.016698068	12.0578729446	2.539194113	12.0378943618	12.2359894151	2.5392212234	11.9776990827	12.4594573635	2.5392000434	12.8027235884	13.0126827888
3	12.0166940644	12.0578729446	3	12.0913640249	12.3119543667	3	11.9788039804	12.4679158216	3	12.802891721	13.0126348206

